subscribers;video views;uploads;Country;Category;video_views_for_the_last_30_days;highest_monthly_earnings;Pay well
245000000;228000000000;20082;India;Music;2258000000;9000000;1
166000000;28368841870;741;United States;Entertainment;1348000000;5400000;1
162000000;164000000000;966;United States;Education;1975000000;7900000;1
159000000;148000000000;116536;India;Entertainment;1824000000;7300000;1
112000000;93247040539;1111;United States;Entertainment;731674000;2900000;1
111000000;29058044447;4716;Japan;Entertainment;39184000;156700;0
106000000;90479060027;493;Russia;People;48947000;195800;0
98900000;77180169894;574;United States;Entertainment;580574000;2300000;1
96700000;57856289381;8548;India;Music;803613000;3200000;1
96000000;77428473662;70127;United States;Sports;714614000;2900000;1
89800000;32144597566;543;South Korea;Music;498930000;2000000;1
86900000;24118230580;1;India;Music;18;0;0
83000000;101000000000;71270;India;Entertainment;1657000000;6600000;1
80100000;26236790209;1;United Kingdom;Entertainment;1;0;0
75600000;20826993957;2281;South Korea;Music;168290000;673200;1
71600000;30608119724;249;Canada;Music;176326000;705300;1
71300000;28634566938;1337;South Korea;Music;598173000;2400000;1
70500000;73139054467;129204;India;Entertainment;1707000000;6800000;1
68200000;38843229963;2865;United States;Education;473387000;1900000;1
66500000;36775585925;2572;Brazil;Music;447223000;0;0
65900000;45757850229;633;India;Education;420292000;1700000;1
65600000;28648024439;8502;India;Music;254961000;1000000;1
64600000;61510906457;112915;India;Entertainment;1188000000;4800000;1
61000000;29533230328;13;India;Music;10;0;0
59500000;16241549158;389;United States;Sports;141200000;564800;0
59500000;59316472754;39113;United States;Film;114668000;458700;0
59300000;33431802698;4741;India;Music;422634000;1700000;1
58400000;57271630846;1510;Argentina;Music;611828000;2400000;1
58000000;40602020243;19487;India;Music;232025000;928100;1
57600000;25307753534;283775;India;News;461148000;1800000;1
57200000;28837144516;3882;India;Music;259310000;1000000;1
56900000;27073872856;156;United States;Music;260193000;1000000;1
56400000;14696003229;436;United States;Music;112100000;448400;0
54600000;35302243691;3707;India;Music;512093000;2000000;1
54000000;32312431239;11;India;Entertainment;159;1;0
53500000;30367676736;383;United Kingdom;Music;202720000;810900;1
53300000;30516172739;577;India;Education;815949000;3300000;1
52900000;29884657286;216;United States;Music;528392000;2100000;1
52700000;24004842608;147;United States;Music;160216000;640900;1
52200000;9877365274;847;United States;Education;266747000;1100000;1
48100000;14631710289;2052;Chile;Games;66388000;265600;0
47900000;13626331061;65;United States;Music;146862000;587400;0
47500000;30788679536;3322;Russia;Film;306540000;1200000;1
47400000;22519705183;11451;India;Entertainment;232744000;931000;1
46800000;19398045702;1;nan;Music;440;2;0
46600000;27286058807;3444;United States;Music;314505000;1300000;1
46300000;22936630813;1;Cuba;People;94;0;0
46100000;30686342319;1;Global;Sports;1;0;0
46100000;10323391593;543;El Salvador;Games;33842000;135400;0
45500000;21388725229;4660;India;Entertainment;233988000;936000;1
45200000;16602198273;4331;Brazil;Entertainment;130359000;521400;0
44700000;7828610828;1558;Brazil;Entertainment;48032000;192100;0
44600000;41139050371;100755;Pakistan;Entertainment;1337000000;5300000;1
44500000;10708531817;0;Global;Entertainment;0;0;0
44200000;25458952022;128;United States;Music;134242000;537000;0
44200000;4274709210;558;Brazil;Comedy;26683000;106700;0
